Order_ID,Order_Date,Order_Time,Pickup_Time,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Category
aabo151954572,2022-03-23,18:35:00,18:50:00,26.892312,75.806896,27.002312,75.916896,NULL
aaem314845836,2022-03-23,23:45:00,23:50:00,17.455894,78.375467,17.585894,78.505467,NULL
aaff291190267,2022-04-05,18:55:00,19:05:00,26.902328,75.794257,26.952328,75.844257,NULL
aafr395199003,2022-02-12,22:50:00,22:55:00,26.482419,80.320939,26.562419,80.400939,NULL
aalq500110937,2022-03-10,23:20:00,23:25:00,18.563934,73.915367,18.673935,74.025367,NULL
aank525767567,2022-04-03,10:20:00,10:25:00,18.520016,73.830547,18.530016,73.840547,NULL
aanq792564931,2022-04-03,11:20:00,11:25:00,18.543626,73.905101,18.553626,73.915101,NULL
aaoe396115749,2022-02-18,20:00:00,20:10:00,26.483042,80.317833,26.573042,80.407833,NULL
aapg596814071,2022-03-02,17:20:00,17:25:00,17.431668,78.408321,17.511668,78.488321,NULL
aatu545608987,2022-03-04,23:50:00,00:00:00,12.975377,77.696664,13.105377,77.826664,NULL
aavg727493245,2022-03-15,18:55:00,19:05:00,18.539299,73.897902,18.569299,73.927902,NULL
aavm876228553,2022-03-13,15:20:00,15:25:00,21.160522,72.771477,21.200522,72.811477,NULL
aazb527937675,2022-03-12,19:30:00,19:45:00,10.961850,76.971082,11.091850,77.101082,NULL
aazk481251716,2022-03-21,22:35:00,22:45:00,23.351058,85.325731,23.411058,85.385731,NULL
aazn737952952,2022-03-01,23:50:00,00:00:00,18.539299,73.897902,18.569299,73.927902,NULL
abdo814721972,2022-02-15,20:20:00,20:30:00,9.988483,76.295211,10.038483,76.345211,NULL
abfq998863769,2022-02-14,22:50:00,23:05:00,10.006881,76.345397,10.076881,76.415397,NULL
abhn842271794,2022-03-18,20:20:00,20:35:00,17.458998,78.500366,17.528998,78.570366,NULL
abhq182922930,2022-02-16,17:30:00,17:45:00,0.000000,0.000000,0.090000,0.090000,NULL
abil220197365,2022-02-14,23:20:00,23:30:00,23.184992,77.417227,23.254992,77.487227,NULL
abin230128683,2022-03-12,18:15:00,18:25:00,23.355164,85.324097,23.485164,85.454097,NULL
abkc104387265,2022-03-03,17:20:00,17:25:00,12.939496,77.625999,12.969496,77.655999,NULL
ablk222441923,2022-03-29,00:00:00,00:10:00,0.000000,0.000000,0.080000,0.080000,NULL
abms162045662,2022-03-02,22:35:00,22:40:00,17.430448,78.418213,17.540448,78.528213,NULL
abmx519515460,2022-03-01,08:30:00,08:45:00,21.171060,72.789292,21.181060,72.799292,NULL
